-0.0010000000000000002	1.7763568394002521e-20
-0.0011428571428571432	-0.00022857142857142862
-0.0011428571428571432	1.5099033134902128e-19
-0.0013333333333333337	-0.00026666666666666673
-0.0013333333333333337	-1.4802973661668758e-19
-0.0017777777777777779	-0.00088888888888888893
-0.0016000000000000005	-0.0016000000000000005
-0.004000000000000001	-1.4802973661668758e-19
-0.004000000000000001	-0.004000000000000001
0	0
0	0
0	0
0	0.0053333333333333349
-2.763221750178167e-19	0.005333333333333334
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.0010322580645161293	0.0051612903225806469
1.6148698540002262e-20	0.004000000000000001
0	0
0	0
0.0014545454545454549	0.0036363636363636377
1.4802973661668758e-19	0.002666666666666667
0	0
0	0
0	0
0	0
0	0
0	0
0.00066666666666666686	0.0015555555555555557
0	0.002666666666666667
0.00053333333333333347	0.0016000000000000005
-1.3816108750890835e-19	0.0013333333333333335
0	0.0013333333333333337
-5.6251299914341264e-20	0.0013333333333333337
