x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.787575	1.000000	1.476703	1.254754	0.676683	1.009174	0.961483	1.021339	0.998198	1.048675	0.974019	0.923043
0.789579	1.000000	1.480461	1.246079	0.676031	1.010827	0.959473	1.020964	0.995025	1.045580	0.973409	0.919152
0.791583	1.000000	1.484218	1.237344	0.675525	1.012488	0.957481	1.020521	0.991892	1.042198	0.972986	0.916086
0.793587	1.000000	1.487976	1.228549	0.675163	1.014156	0.955509	1.020014	0.988809	1.038544	0.972755	0.913907
0.795591	1.000000	1.491733	1.219694	0.674949	1.015829	0.953557	1.019442	0.985788	1.034636	0.972716	0.912670
0.797595	1.000000	1.495491	1.210778	0.674883	1.017506	0.951627	1.018809	0.982839	1.030492	0.972870	0.912420
0.799599	1.000000	1.499248	1.201802	0.674965	1.019184	0.949719	1.018117	0.979975	1.026135	0.973217	0.913192
0.801603	1.000000	1.503006	1.192766	0.675199	1.020863	0.947834	1.017366	0.977205	1.021588	0.973754	0.915011
0.803607	1.000000	1.506764	1.183670	0.675583	1.022539	0.945973	1.016560	0.974541	1.016875	0.974477	0.917887
0.805611	1.000000	1.510521	1.174513	0.676121	1.024212	0.944138	1.015702	0.971993	1.012024	0.975382	0.921820
0.807615	1.000000	1.514279	1.165297	0.676812	1.025880	0.942329	1.014793	0.969570	1.007063	0.976462	0.926794
0.809619	1.000000	1.518036	1.156019	0.677659	1.027541	0.940548	1.013836	0.967282	1.002021	0.977710	0.932781
0.811623	1.000000	1.521794	1.146682	0.678661	1.029193	0.938796	1.012834	0.965139	0.996930	0.979117	0.939736
0.813627	1.000000	1.525551	1.137285	0.679822	1.030834	0.937074	1.011791	0.963150	0.991823	0.980673	0.947601
0.815631	1.000000	1.529309	1.127827	0.681141	1.032463	0.935382	1.010709	0.961321	0.986732	0.982367	0.956302
0.817635	1.000000	1.533066	1.118309	0.682620	1.034077	0.933724	1.009592	0.959662	0.981692	0.984185	0.965751
0.819639	1.000000	1.536824	1.108730	0.684259	1.035675	0.932099	1.008443	0.958180	0.976737	0.986115	0.975845
0.821643	1.000000	1.540581	1.099092	0.686062	1.037255	0.930509	1.007266	0.956880	0.971904	0.988142	0.986468
0.823647	1.000000	1.544339	1.089393	0.688027	1.038814	0.928955	1.006064	0.955770	0.967227	0.990249	0.997490
0.825651	1.000000	1.548096	1.079634	0.690157	1.040352	0.927440	1.004841	0.954855	0.962741	0.992421	1.008771
0.827655	1.000000	1.551854	1.069815	0.692454	1.041866	0.925964	1.003600	0.954138	0.958483	0.994641	1.020161
0.829659	1.000000	1.555611	1.059936	0.694917	1.043353	0.924528	1.002346	0.953625	0.954486	0.996889	1.031499
0.831663	1.000000	1.559369	1.049996	0.697548	1.044813	0.923135	1.001083	0.953318	0.950784	0.999148	1.042620
0.833667	1.000000	1.563126	1.039996	0.700348	1.046243	0.921786	0.999815	0.953221	0.947410	1.001400	1.053352
0.835671	1.000000	1.566884	1.029936	0.703320	1.047641	0.920482	0.998546	0.953334	0.944395	1.003624	1.063523
0.837675	1.000000	1.570641	1.019815	0.706462	1.049005	0.919225	0.997280	0.953658	0.941768	1.005801	1.072960
0.839679	1.000000	1.574399	1.009634	0.709778	1.050333	0.918017	0.996022	0.954194	0.939557	1.007914	1.081494
0.841683	1.000000	1.578156	0.999394	0.713268	1.051622	0.916859	0.994775	0.954940	0.937787	1.009942	1.088962
0.843687	1.000000	1.581914	0.989092	0.716934	1.052872	0.915753	0.993545	0.955895	0.936481	1.011866	1.095208
0.845691	1.000000	1.585671	0.978731	0.720775	1.054079	0.914702	0.992335	0.957056	0.935658	1.013670	1.100092
